#--------------------------#
#PLATO:: 'Box_ODE' app
#Database (path to): '/Users/ecisneros/Packages/plato-database/'
#Mixture:            'air5'
#Kinetics:           'air5'
#Transfer:           'TTv'
# t [s]  Y_N  Y_O  Y_N2  Y_NO  Y_O2  Th [K]  Tv [K]  rho [kg/m^3]  p [Pa]  n [1/m^3]  E [J/kg]
   3.875541137340E-05   2.100901231815E-08   9.010561493671E-08   7.670821952069E-01   1.676446064265E-06   2.329160172324E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000205750E+04   1.448594252230E+23   6.906626261130E+06
   3.953439516210E-05   2.144044291479E-08   9.190628111078E-08   7.670821627606E-01   1.745031303339E-06   2.329159788614E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000209890E+04   1.448594255230E+23   6.906626515210E+06
   4.073232690020E-05   2.210390263018E-08   9.467536918993E-08   7.670821116108E-01   1.853186319676E-06   2.329159184236E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000216250E+04   1.448594259840E+23   6.906626914110E+06
   4.155104669100E-05   2.255734046308E-08   9.656788663122E-08   7.670820757788E-01   1.928975299188E-06   2.329158761207E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000220600E+04   1.448594262980E+23   6.906627192430E+06
   4.281008498710E-05   2.325464324456E-08   9.947822466020E-08   7.670820192937E-01   2.048489094153E-06   2.329158094844E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000227280E+04   1.448594267830E+23   6.906627629460E+06
   4.367056771550E-05   2.373121096469E-08   1.014672784751E-07   7.670819797240E-01   2.132236915052E-06   2.329157628406E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000231850E+04   1.448594271130E+23   6.906627934440E+06
   4.454834614660E-05   2.421735771675E-08   1.034963117893E-07   7.670819385516E-01   2.219397143725E-06   2.329157143376E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000236510E+04   1.448594274510E+23   6.906628250810E+06
   4.589820561350E-05   2.496496079370E-08   1.066165854732E-07   7.670818736454E-01   2.356840901911E-06   2.329156379321E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000243670E+04   1.448594279700E+23   6.906628747700E+06
   4.682075956650E-05   2.547590603098E-08   1.087491184371E-07   7.670818281772E-01   2.453151779735E-06   2.329155844460E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000248570E+04   1.448594283250E+23   6.906629094530E+06
   4.823947543240E-05   2.626164462757E-08   1.120285550159E-07   7.670817564981E-01   2.605024029472E-06   2.329155001877E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000256100E+04   1.448594288700E+23   6.906629639340E+06
   4.920908890870E-05   2.679865342983E-08   1.142698667893E-07   7.670817062844E-01   2.711444524748E-06   2.329154412025E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000261250E+04   1.448594292430E+23   6.906630019670E+06
   5.070017354200E-05   2.762447186195E-08   1.177165859783E-07   7.670816271240E-01   2.879257239525E-06   2.329153482777E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000269170E+04   1.448594298170E+23   6.906630617220E+06
   5.171924705030E-05   2.818887230605E-08   1.200722268294E-07   7.670815716694E-01   2.996846679756E-06   2.329152832228E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000274580E+04   1.448594302080E+23   6.906631034430E+06
   5.328639198550E-05   2.905681466894E-08   1.236947617425E-07   7.670814842471E-01   3.182270161707E-06   2.329151807312E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000282900E+04   1.448594308110E+23   6.906631690000E+06
   5.435744848450E-05   2.965000489862E-08   1.261705622046E-07   7.670814230034E-01   3.312198863573E-06   2.329151089772E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000288580E+04   1.448594312230E+23   6.906632147790E+06
   5.600453356130E-05   3.056222055878E-08   1.299778799443E-07   7.670813264543E-01   3.517078325701E-06   2.329149959273E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000297330E+04   1.448594318560E+23   6.906632867240E+06
   5.713022470600E-05   3.118566911233E-08   1.325799690319E-07   7.670812588172E-01   3.660639102595E-06   2.329149167781E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000303310E+04   1.448594322890E+23   6.906633369710E+06
   5.827854224270E-05   3.182164883902E-08   1.352343591853E-07   7.670811884397E-01   3.810044554430E-06   2.329148344598E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000309400E+04   1.448594327310E+23   6.906633891280E+06
   6.004444038150E-05   3.279966672847E-08   1.393163141458E-07   7.670810774893E-01   4.045633931547E-06   2.329147047608E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000318780E+04   1.448594334100E+23   6.906634711110E+06
   6.125133365330E-05   3.346808742638E-08   1.421061022255E-07   7.670809997630E-01   4.210711905736E-06   2.329146139509E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000325180E+04   1.448594338740E+23   6.906635283790E+06
   6.310731034460E-05   3.449599345016E-08   1.463962735839E-07   7.670808772277E-01   4.471012795208E-06   2.329144708672E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000335040E+04   1.448594345870E+23   6.906636184090E+06
   6.437576730260E-05   3.519850973344E-08   1.493283660092E-07   7.670807913860E-01   4.653405032200E-06   2.329143706821E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000341770E+04   1.448594350750E+23   6.906636813050E+06
   6.632641745790E-05   3.627884796450E-08   1.538373751397E-07   7.670806560544E-01   4.941005874245E-06   2.329142128235E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000352130E+04   1.448594358250E+23   6.906637801950E+06
   6.765957846890E-05   3.701719875476E-08   1.569190306856E-07   7.670805612477E-01   5.142525962236E-06   2.329141022901E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000359210E+04   1.448594363380E+23   6.906638492900E+06
   6.970973138640E-05   3.815264391110E-08   1.616580392370E-07   7.670804117829E-01   5.460286327358E-06   2.329139281200E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000370090E+04   1.448594371260E+23   6.906639579390E+06
   7.111089700740E-05   3.892865715517E-08   1.648968863332E-07   7.670803070742E-01   5.682937763516E-06   2.329138061625E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000377530E+04   1.448594376650E+23   6.906640338620E+06
   7.326562832790E-05   4.012202002775E-08   1.698776257134E-07   7.670801419988E-01   6.034016489078E-06   2.329136139851E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000388970E+04   1.448594384940E+23   6.906641532600E+06
   7.473826747740E-05   4.093761673328E-08   1.732816820798E-07   7.670800263530E-01   6.280012456328E-06   2.329134794152E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000396790E+04   1.448594390600E+23   6.906642367050E+06
   7.700291175060E-05   4.219185145413E-08   1.785164819734E-07   7.670798440347E-01   6.667899026773E-06   2.329132673579E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000408810E+04   1.448594399310E+23   6.906643679460E+06
   7.855067029680E-05   4.304905070333E-08   1.820941742104E-07   7.670797163094E-01   6.939684244470E-06   2.329131188631E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000417030E+04   1.448594405260E+23   6.906644596780E+06
   8.012953878990E-05   4.392347909437E-08   1.857437757796E-07   7.670795834058E-01   7.222526252538E-06   2.329129644007E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000425410E+04   1.448594411330E+23   6.906645549560E+06
   8.255754397510E-05   4.526818582763E-08   1.913561775051E-07   7.670793738788E-01   7.668508537109E-06   2.329127209883E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000438300E+04   1.448594420670E+23   6.906647048310E+06
   8.421695062910E-05   4.618721745679E-08   1.951919389906E-07   7.670792270907E-01   7.980998388681E-06   2.329125505318E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000447110E+04   1.448594427050E+23   6.906648096020E+06
   8.676880848040E-05   4.760051547160E-08   2.010906191875E-07   7.670789956740E-01   8.473726799153E-06   2.329122819081E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000460660E+04   1.448594436860E+23   6.906649744270E+06
